"id";"photo";"pace";"shooting";"passing";"dribbling";"defending";"physic"
"A. Di María";"fifa/183898.png";84;79;84;87;48;68
"A. Griezmann";"fifa/194765.png";81;86;84;89;57;72
"A. Lallana";"fifa/180819.png";67;71;79;82;62;65
"A. Lewis";"fifa/243056.png";66;36;57;60;57;58
"A. Oxlade-Chamberlain";"fifa/198784.png";82;73;78;84;66;73
"A. Rabiot";"fifa/210008.png";73;74;79;80;77;80
"A. Ramsey";"fifa/186561.png";68;77;79;80;68;74
"A. Toufiqui";"fifa/241495.png";64;52;62;63;55;54
"A. Vidal";"fifa/181872.png";67;79;80;78;85;86
"Abel Ruiz";"fifa/239250.png";72;68;53;68;37;65
"Aleix García";"fifa/228813.png";67;67;74;75;59;57
"Aleñá";"fifa/233113.png";75;68;73;78;61;62
"Álex Collado";"fifa/242999.png";67;61;64;68;53;40
"Alex Sandro";"fifa/191043.png";83;65;77;80;82;82
"Ander Herrera";"fifa/191740.png";70;72;78;80;82;77
"Arthur";"fifa/230658.png";69;71;81;86;73;70
"B. Garré";"fifa/241632.png";73;55;53;66;32;46
"B. Matuidi";"fifa/170890.png";75;66;76;78;83;81
"Bernardo Silva";"fifa/218667.png";81;76;83;92;51;67
"Bernat";"fifa/205069.png";82;61;78;85;74;66
"Brahim";"fifa/231410.png";78;66;63;81;29;43
"C. Gomes";"fifa/245035.png";67;56;61;63;65;62
"C. Jones";"fifa/242434.png";61;56;60;66;48;53
"Carles Pérez";"fifa/240654.png";79;71;61;70;36;51
"Casemiro";"fifa/200145.png";62;72;75;72;85;89
"Cristiano Ronaldo";"fifa/20801.png";90;93;82;89;35;78
"D. Origi";"fifa/213135.png";82;76;67;75;27;74
"David Silva";"fifa/168542.png";65;74;88;89;52;57
"Douglas Costa";"fifa/190483.png";94;73;79;91;43;61
"E. Can";"fifa/208333.png";70;68;77;79;81;84
"E. Cavani";"fifa/179813.png";75;86;72;79;55;83
"E. Choupo-Moting";"fifa/183569.png";76;71;68;77;37;71
"E. Hazard";"fifa/183277.png";91;83;86;94;35;66
"F. Bernardeschi";"fifa/212404.png";81;75;81;87;60;66
"F. de Jong";"fifa/228702.png";79;64;84;87;76;76
"F. Nmecha";"fifa/246863.png";75;54;61;62;45;55
"F. Valverde";"fifa/239053.png";68;69;73;73;66;67
