"id";"photo";"height";"weight";"base_experience";"attack";"defense";"hp";"special_attack";"special_defense";"speed"
"bulbasaur";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/1.png";7;69;64;49;49;45;65;65;45
"ivysaur";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/2.png";10;130;142;62;63;60;80;80;60
"venusaur";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/3.png";20;1000;236;82;83;80;100;100;80
"charmander";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/4.png";6;85;62;52;43;39;60;50;65
"charmeleon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/5.png";11;190;142;64;58;58;80;65;80
"charizard";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/6.png";17;905;240;84;78;78;109;85;100
"squirtle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/7.png";5;90;63;48;65;44;50;64;43
"wartortle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/8.png";10;225;142;63;80;59;65;80;58
"blastoise";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/9.png";16;855;239;83;100;79;85;105;78
"caterpie";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/10.png";3;29;39;30;35;45;20;20;45
"metapod";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/11.png";7;99;72;20;55;50;25;25;30
"butterfree";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/12.png";11;320;178;45;50;60;90;80;70
"weedle";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/13.png";3;32;39;35;30;40;20;20;50
"kakuna";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/14.png";6;100;72;25;50;45;25;25;35
"beedrill";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/15.png";10;295;178;90;40;65;45;80;75
"pidgey";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/16.png";3;18;50;45;40;40;35;35;56
"pidgeotto";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/17.png";11;300;122;60;55;63;50;50;71
"pidgeot";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/18.png";15;395;216;80;75;83;70;70;101
"rattata";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/19.png";3;35;51;56;35;30;25;35;72
"raticate";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/20.png";7;185;145;81;60;55;50;70;97
"spearow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/21.png";3;20;52;60;30;40;31;31;70
"fearow";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/22.png";12;380;155;90;65;65;61;61;100
"ekans";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/23.png";20;69;58;60;44;35;40;54;55
"arbok";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/24.png";35;650;153;85;69;60;65;79;80
"pikachu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/25.png";4;60;112;55;40;35;50;50;90
"raichu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/26.png";8;300;218;90;55;60;90;80;110
"sandshrew";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/27.png";6;120;60;75;85;50;20;30;40
"sandslash";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/28.png";10;295;158;100;110;75;45;55;65
"nidoran-f";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/29.png";4;70;55;47;52;55;40;40;41
"nidorina";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/30.png";8;200;128;62;67;70;55;55;56
"nidoqueen";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/31.png";13;600;227;92;87;90;75;85;76
"nidoran-m";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/32.png";5;90;55;57;40;46;40;40;50
"nidorino";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/33.png";9;195;128;72;57;61;55;55;65
"nidoking";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/34.png";14;620;227;102;77;81;85;75;85
"clefairy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/35.png";6;75;113;45;48;70;60;65;35
"clefable";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/36.png";13;400;217;70;73;95;95;90;60
"vulpix";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/37.png";6;99;60;41;40;38;50;65;65
"ninetales";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/38.png";11;199;177;76;75;73;81;100;100
"jigglypuff";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/39.png";5;55;95;45;20;115;45;25;20
"wigglytuff";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/40.png";10;120;196;70;45;140;85;50;45
"zubat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/41.png";8;75;49;45;35;40;30;40;55
"golbat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/42.png";16;550;159;80;70;75;65;75;90
"oddish";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/43.png";5;54;64;50;55;45;75;65;30
"gloom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/44.png";8;86;138;65;70;60;85;75;40
"vileplume";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/45.png";12;186;221;80;85;75;110;90;50
"paras";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/46.png";3;54;57;70;55;35;45;55;25
"parasect";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/47.png";10;295;142;95;80;60;60;80;30
"venonat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/48.png";10;300;61;55;50;60;40;55;45
"venomoth";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/49.png";15;125;158;65;60;70;90;75;90
"diglett";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/50.png";2;8;53;55;25;10;35;45;95
"dugtrio";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/51.png";7;333;142;80;50;35;50;70;120
"meowth";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/52.png";4;42;58;45;35;40;40;40;90
"persian";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/53.png";10;320;154;70;60;65;65;65;115
